gene	n_edges	median_beta	median_t	p_stouffer	q_BH	symbol
ENSMUSG00000027487	420	0.2843589536845677	0.5133884533872871	0.0	0.0	ENSMUSG00000027487
ENSMUSG00000091756	234	-0.6418444331735347	-0.9518914006242778	0.0	0.0	ENSMUSG00000091756
ENSMUSG00000094306	386	-0.1887656796723607	-0.337783123123532	0.0	0.0	ENSMUSG00000094306
ENSMUSG00000114247	91	-0.5686972409486748	-1.3009100694504754	0.0	0.0	ENSMUSG00000114247
ENSMUSG00000070645	214	0.2732067308970723	0.4698892715256875	0.0	0.0	ENSMUSG00000070645
ENSMUSG00000094932	381	0.0695051722228528	0.085028036017659	0.0	0.0	ENSMUSG00000094932
ENSMUSG00000108833	299	-0.2161358639597906	-0.2708510604839216	0.0	0.0	ENSMUSG00000108833
ENSMUSG00000111497	196	-0.0918366033583874	-0.1250267602708662	0.0	0.0	ENSMUSG00000111497
ENSMUSG00000015962	127	0.4096412044018505	0.7873326218876067	0.0	0.0	ENSMUSG00000015962
ENSMUSG00000099927	346	-0.169667766615747	-0.228305472549244	0.0	0.0	ENSMUSG00000099927
ENSMUSG00000112689	349	0.0642400145530688	0.0917674628230006	1.1102230246251563e-16	2.5232341468753562e-14	ENSMUSG00000112689
ENSMUSG00000073125	412	-0.0458199657499794	-0.1017167753921215	2.220446049250313e-16	4.6259292692714864e-14	ENSMUSG00000073125
ENSMUSG00000030786	153	-0.0732786864042286	-0.1644603414406669	1.7319479184152442e-14	3.3306690738754696e-12	ENSMUSG00000030786
ENSMUSG00000097702	341	-0.2418581634759902	-0.4506729296383328	6.705747068735947e-14	1.1974548337028474e-11	ENSMUSG00000097702
ENSMUSG00000057836	313	-0.3079107843339445	-0.5171345426748198	2.342570581959081e-13	3.904284303265134e-11	ENSMUSG00000057836
ENSMUSG00000095616	341	-0.2602617025375359	-0.4843115735317669	7.505107646466058e-13	1.1726730697603216e-10	ENSMUSG00000095616
ENSMUSG00000040562	82	-0.3492304146289827	-0.6410908921697454	8.009148899645879e-13	1.1778160146538054e-10	ENSMUSG00000040562
ENSMUSG00000071984	191	-0.1039422720670701	-0.1889631364615823	3.2475133693310454e-12	4.5104352351820076e-10	ENSMUSG00000071984
ENSMUSG00000023046	210	-0.0955040264874691	-0.134752144365028	9.767298081442276e-12	1.285170800189773e-09	ENSMUSG00000023046
ENSMUSG00000091345	241	0.067400911450386	0.1370762603537633	1.2611023336717152e-11	1.576377917089644e-09	ENSMUSG00000091345
ENSMUSG00000032060	80	-0.5151581913232814	-0.8758846293744125	1.514721681417086e-11	1.8032400969251022e-09	ENSMUSG00000032060
ENSMUSG00000038738	107	-0.3000417873263361	-0.5860497134559657	5.159561666800983e-11	5.863138257728389e-09	ENSMUSG00000038738
ENSMUSG00000079165	84	-0.4551328569650631	-0.8155244911867555	6.367584237665369e-11	6.921287214853662e-09	ENSMUSG00000079165
ENSMUSG00000040943	86	-0.5555295302066954	-0.8917116425323226	3.19466009202074e-10	3.3277709291882715e-08	ENSMUSG00000040943
ENSMUSG00000108884	83	0.1284719541668879	0.2329340047685242	6.80005052267063e-10	6.800050522670631e-08	ENSMUSG00000108884
ENSMUSG00000064604	134	-0.3225197792053214	-0.574567789204385	8.639146065192448e-10	8.306871216531202e-08	ENSMUSG00000064604
ENSMUSG00000021614	106	-0.0338710533455006	-0.0481677832971039	9.379875764992107e-10	8.685070152770469e-08	ENSMUSG00000021614
ENSMUSG00000049775	93	0.3915035459212944	0.5993206454109891	1.2165689566856486e-09	1.0862222827550433e-07	ENSMUSG00000049775
ENSMUSG00000031538	101	0.2823329776525485	0.5009361347503367	1.781163549985365e-09	1.535485818952901e-07	ENSMUSG00000031538
ENSMUSG00000116639	207	-0.48601492452435	-0.7488689776085444	2.00952787743347e-09	1.674606564527892e-07	ENSMUSG00000116639
ENSMUSG00000105263	118	-0.1337673753499987	-0.3345022804517769	2.077690353097239e-09	1.6755567363687415e-07	ENSMUSG00000105263
ENSMUSG00000064945	120	-0.4476256038993584	-0.7017009405026254	2.4259951825200687e-09	1.8953087363438042e-07	ENSMUSG00000064945
ENSMUSG00000103976	92	-0.4713751770555964	-0.6495172237319464	2.604207516299084e-09	1.972884482044761e-07	ENSMUSG00000103976
ENSMUSG00000044816	107	0.0812631905078884	0.2028768791706256	2.760150552560958e-09	2.0295224651183522e-07	ENSMUSG00000044816
ENSMUSG00000109279	93	-0.6054628252983096	-0.9006485728107696	3.586054675430716e-09	2.561467625307655e-07	ENSMUSG00000109279
ENSMUSG00000103756	91	-0.3427461028099057	-0.5688361293797956	5.278203984993013e-09	3.665419434022926e-07	ENSMUSG00000103756
ENSMUSG00000033715	93	0.6749832049012182	1.0673639541994673	5.880388953549698e-09	3.973235779425472e-07	ENSMUSG00000033715
ENSMUSG00000030337	83	-0.4801303386688227	-0.9749058446605988	6.761197490767756e-09	4.4331693177523945e-07	ENSMUSG00000030337
ENSMUSG00000119838	167	-0.2766823396086685	-0.6537900552982785	6.927126094957714e-09	4.4331693177523945e-07	ENSMUSG00000119838
ENSMUSG00000025650	89	-0.6325994014739976	-0.9907323516915288	7.093070908403831e-09	4.4331693177523945e-07	ENSMUSG00000025650
ENSMUSG00000087935	125	-0.5239492535591117	-0.9127386463451584	1.1630711949095485e-08	7.091897529936272e-07	ENSMUSG00000087935
ENSMUSG00000038146	95	-0.5754030093550685	-1.0172433884400776	1.3838721391046251e-08	8.237334161337054e-07	ENSMUSG00000038146
ENSMUSG00000048373	221	0.1746863633394249	0.3089938136983279	1.7445643152314005e-08	1.0142815786229072e-06	ENSMUSG00000048373
ENSMUSG00000036899	99	0.0201878082007172	0.0326127034263779	2.202626703251553e-08	1.2514924450292917e-06	ENSMUSG00000036899
ENSMUSG00000054690	85	-0.0748120725154869	-0.1354653591256125	2.7071384245402896e-08	1.503965791411272e-06	ENSMUSG00000054690
ENSMUSG00000020053	93	-0.2613363891839978	-0.4604512355795828	3.132451698029115e-08	1.70241940110278e-06	ENSMUSG00000020053
ENSMUSG00000030218	142	0.1223838404286648	0.2005129432336559	3.25926632349649e-08	1.7336522997321756e-06	ENSMUSG00000030218
ENSMUSG00000095041	96	-0.3948687441647047	-0.6100903120188952	4.086273308612221e-08	2.128267348235532e-06	ENSMUSG00000095041
ENSMUSG00000023009	83	-0.491726878285407	-0.7184071708964904	4.4861216075275934e-08	2.288837554861017e-06	ENSMUSG00000023009
ENSMUSG00000115161	101	-0.3890711307525634	-0.830065330116255	5.273094882962681e-08	2.5600099977907982e-06	ENSMUSG00000115161
ENSMUSG00000104336	279	-0.165148043632509	-0.2654288437885848	5.317917906033642e-08	2.5600099977907982e-06	ENSMUSG00000104336
ENSMUSG00000030123	100	-0.6001025900244721	-1.001247071287484	5.3248207954048616e-08	2.5600099977907982e-06	ENSMUSG00000030123
ENSMUSG00000021702	174	0.029317800421269	0.0752600377088128	8.891162861512926e-08	4.193944745996663e-06	ENSMUSG00000021702
ENSMUSG00000026154	82	0.5741600811481467	0.984883926043738	1.587949677306355e-07	7.35161887641831e-06	ENSMUSG00000026154
ENSMUSG00000026417	96	0.1988200001418584	0.3699349572964637	1.729776801795424e-07	7.862621826342837e-06	ENSMUSG00000026417
ENSMUSG00000026602	171	0.0666694492101667	0.116325748365689	2.0129587741113403e-07	8.838731793253965e-06	ENSMUSG00000026602
