gene	symbol	n_edges	median_beta	median_t	p_stouffer	q_BH
ENSMUSG00000114247	ENSMUSG00000114247	89	-0.5689119353890396	-1.3026374057838446	0.0	0.0
ENSMUSG00000015962	ENSMUSG00000015962	127	0.4412784814834599	0.8294067161351334	0.0	0.0
ENSMUSG00000094932	Gm2007	385	0.0285480646416542	0.0400849223993417	0.0	0.0
ENSMUSG00000027487	Cdk5rap1	437	0.2563549399375906	0.4569971195749088	0.0	0.0
ENSMUSG00000111497	ENSMUSG00000111497	198	-0.1084071166813372	-0.1728340679940597	0.0	0.0
ENSMUSG00000030786	ENSMUSG00000030786	159	-0.0709660284221175	-0.1627572713060671	0.0	0.0
ENSMUSG00000099927	Gm8226	351	-0.1479035653173924	-0.2234804789141131	0.0	0.0
ENSMUSG00000070645	Ren1	218	0.2253675647079947	0.4480754433080717	0.0	0.0
ENSMUSG00000094306	Gm24924	387	-0.1903367787599554	-0.3486804175410883	0.0	0.0
ENSMUSG00000073125	Xlr3b	425	-0.0442885241005571	-0.0973263211045601	2.220446049250313e-16	5.5511151231257833e-14
ENSMUSG00000057836	Xlr3a	316	-0.3370899822562928	-0.5288752639402912	4.2299497238218464e-14	9.613522099595104e-12
ENSMUSG00000095616	Gm26244	346	-0.2661495011299842	-0.5084435392459058	8.437694987151191e-14	1.7578531223231646e-11
ENSMUSG00000105950	ENSMUSG00000105950	85	-0.5600201874040058	-0.9495678694751192	7.83484388477973e-13	1.5067007470730248e-10
ENSMUSG00000040562	Gstm2	81	-0.4062119126319889	-0.6550795985973861	3.2220892620671293e-12	5.753730825119874e-10
ENSMUSG00000079165	Sap25	85	-0.463322699069976	-0.937197482971756	4.619082893952964e-12	7.698471489921607e-10
ENSMUSG00000032060	Cryab	80	-0.5237838756758728	-0.920746815122457	5.822453630344171e-12	9.097583797412767e-10
ENSMUSG00000038738	Shank1	103	-0.3468736622482544	-0.5872843071096692	3.2345015554824386e-11	4.756619934532998e-09
ENSMUSG00000091345	Col6a5	238	0.0528174560284241	0.081569356553591	5.125466717714744e-11	7.118703774603811e-09
ENSMUSG00000071984	ENSMUSG00000071984	187	-0.0643806882202624	-0.0966055310477473	9.525480404448672e-11	1.2533526847958778e-08
ENSMUSG00000109279	ENSMUSG00000109279	95	-0.6499432153999792	-0.916493133012781	1.9243029392157496e-10	2.3486318709959033e-08
ENSMUSG00000103976	ENSMUSG00000103976	94	-0.5164792351424679	-0.6500725322993839	1.9728507716365584e-10	2.3486318709959033e-08
ENSMUSG00000049775	ENSMUSG00000049775	92	0.4956607252359376	0.827010834384277	2.2817925326990007e-10	2.592946059885228e-08
ENSMUSG00000040943	ENSMUSG00000040943	86	-0.5989029080839816	-0.929815653429882	3.8144620795321766e-10	4.1461544342741054e-08
ENSMUSG00000023046	Igfbp6	215	-0.0452444881200795	-0.0701999941296963	1.0747079892681202e-09	1.1194874888209585e-07
ENSMUSG00000105263	ENSMUSG00000105263	125	-0.1448269076645374	-0.3240846278161511	1.2314500530408168e-09	1.2314500530408168e-07
ENSMUSG00000031538	ENSMUSG00000031538	96	0.2894704595208165	0.5117287680495275	2.712000735094477e-09	2.6076930145139204e-07
ENSMUSG00000108884	ENSMUSG00000108884	83	0.0529065046459435	0.0928852887005734	5.92355831052771e-09	5.484776213451584e-07
ENSMUSG00000027322	Siglec1	188	0.1334974549710753	0.3010093610826929	6.38262687147062e-09	5.698773992384483e-07
ENSMUSG00000033715	Akr1c14	95	0.6621489956974992	1.0294916757625734	6.786039841166769e-09	5.716060125227074e-07
ENSMUSG00000021702	Thbs4	177	-0.0285928726196291	-0.0629721682082436	6.8592721502724885e-09	5.716060125227074e-07
ENSMUSG00000097183	ENSMUSG00000097183	158	0.2378183335065828	0.4176438998672664	9.792657795770763e-09	7.897304674008681e-07
ENSMUSG00000064945	Rny3	119	-0.4383591741323452	-0.6925369687572719	1.1054290927070554e-08	8.63616478677387e-07
ENSMUSG00000048373	Fgfbp1	218	0.1677071735262861	0.2934537768986062	1.454375886389414e-08	1.1017999139313743e-06
ENSMUSG00000103756	ENSMUSG00000103756	92	-0.3427577098831536	-0.5644635223503769	1.9366840686707576e-08	1.424032403434381e-06
ENSMUSG00000054690	ENSMUSG00000054690	86	-0.0320093363523482	-0.0554475975340587	2.7825936999015252e-08	1.9875669285010896e-06
ENSMUSG00000056162	ENSMUSG00000056162	126	0.0832129593938586	0.1577007887292838	3.932839476306072e-08	2.673127027538221e-06
ENSMUSG00000036899	ENSMUSG00000036899	98	0.0159863231703637	0.0311402093663057	3.956228000756568e-08	2.673127027538221e-06
ENSMUSG00000025650	Col7a1	89	-0.6078370034694679	-0.966633642199825	4.7813944914487656e-08	3.145654270689977e-06
ENSMUSG00000026602	Nphs2	175	0.067085529863834	0.117082118310353	6.134598007356828e-08	3.932434620100531e-06
ENSMUSG00000030218	Mgp	149	0.1433544591069223	0.2811505968005042	6.768743332496997e-08	4.2304645828106224e-06
ENSMUSG00000095041	ENSMUSG00000095041	93	-0.3821727603673918	-0.5822748343740282	7.350785791171432e-08	4.383825137524767e-06
ENSMUSG00000044816	ENSMUSG00000044816	106	0.0973368577659133	0.2185105757459502	7.4107089131914e-08	4.383825137524767e-06
ENSMUSG00000020798	ENSMUSG00000020798	143	-0.1514043249189838	-0.2818870507799509	7.540179236542599e-08	4.383825137524767e-06
ENSMUSG00000102602	ENSMUSG00000102602	83	-0.7403996169567111	-1.1850738560164578	8.45453781428418e-08	4.80371466720692e-06
ENSMUSG00000119838	Gm23444	174	-0.2358117550611496	-0.5584951516465547	9.259945288331296e-08	5.144414049072941e-06
ENSMUSG00000023009	ENSMUSG00000023009	84	-0.4827113270759589	-0.7175424874411653	1.0631281022188689e-07	5.777870120754722e-06
ENSMUSG00000040441	ENSMUSG00000040441	234	-0.0282586764078597	-0.0544312548114831	1.1314413006502377e-07	6.018304790692754e-06
ENSMUSG00000038146	Notch3	90	-0.5747194722294806	-0.987724520364857	1.227509051071607e-07	6.393276307664619e-06
ENSMUSG00000026417	Pigr	94	0.1928095243871213	0.3274087493723365	1.5536469200050362e-07	7.926770000025695e-06
ENSMUSG00000023328	ENSMUSG00000023328	190	-0.1437594276852903	-0.2967766871150684	1.8862469042257857e-07	9.431234521128928e-06
ENSMUSG00000006362	ENSMUSG00000006362	155	-0.277720601181499	-0.4838449801291885	2.0807091583030518e-07	1.0199554697563976e-05
ENSMUSG00000026154	ENSMUSG00000026154	82	0.5543743871152391	0.9766302785803388	2.1714061115840627e-07	1.043945245953876e-05
ENSMUSG00000087935	Snora81	126	-0.4633569411933417	-0.8536593329599518	2.718474089169476e-07	1.2822990986648471e-05
ENSMUSG00000064604	Snora44	134	-0.2861100070178504	-0.4940294042389309	3.286693229798132e-07	1.5216172360176538e-05
ENSMUSG00000050621	Rps27rt	119	0.4467889368534086	0.6900934875120448	4.011143241999804e-07	1.823246928181729e-05
ENSMUSG00000046814	ENSMUSG00000046814	84	0.2245600480586276	0.4315029380553213	4.198438366964652e-07	1.8743028423949334e-05
ENSMUSG00000102555	ENSMUSG00000102555	86	-0.5906717486679556	-0.9787647801730353	4.396327650812992e-07	1.8973022444322936e-05
ENSMUSG00000050069	Grem2	115	-0.0164161980152132	-0.0382218628590107	4.401741207082921e-07	1.8973022444322936e-05
ENSMUSG00000103146	ENSMUSG00000103146	94	-0.5130328233819447	-0.931396026418915	5.642190240573441e-07	2.39075857651417e-05
ENSMUSG00000021614	Vcan	109	0.0035267740488054	0.0076772158491591	5.894243383375297e-07	2.4559347430730405e-05
ENSMUSG00000028248	ENSMUSG00000028248	80	-0.6241969909518951	-1.0312940286218408	7.670401417358974e-07	3.094157981802452e-05
ENSMUSG00000109378	ENSMUSG00000109378	94	-0.3081588029861442	-0.6036665652945128	7.67351179487008e-07	3.094157981802452e-05
ENSMUSG00000035674	ENSMUSG00000035674	81	0.6162450551986703	1.0330624286708348	8.714051611402596e-07	3.4579569886518234e-05
ENSMUSG00000115161	ENSMUSG00000115161	101	-0.3689597226679328	-0.7563883588845298	9.066712999272752e-07	3.541684765340919e-05
ENSMUSG00000030337	Vamp1	84	-0.4589999709394752	-0.7861474164683739	1.1169799447596771e-06	4.296076710614144e-05
ENSMUSG00000087881	Gm22442	93	-0.561666238307953	-1.044928467409869	1.1960618665485256e-06	4.53053737328987e-05
ENSMUSG00000113196	ENSMUSG00000113196	120	-0.4030827779322857	-0.6754887675957965	1.2606209922605416e-06	4.6340728175065927e-05
ENSMUSG00000030123	ENSMUSG00000030123	99	-0.5662394195795051	-0.9677130419585352	1.274339158308102e-06	4.6340728175065927e-05
ENSMUSG00000020953	ENSMUSG00000020953	157	0.1592868909239772	0.2369269533384617	1.2790040976318195e-06	4.6340728175065927e-05
ENSMUSG00000072082	ENSMUSG00000072082	85	-0.3653100639581682	-0.7805937374452787	1.3905095407329426e-06	4.9661055026176525e-05
ENSMUSG00000020053	ENSMUSG00000020053	96	-0.2238789489492758	-0.3297761206995374	1.5847526760870425e-06	5.580115056644515e-05
ENSMUSG00000005125	Ndrg1	91	0.1421316921710965	0.2133083489583842	2.340118109400713e-06	8.125410102085808e-05
ENSMUSG00000068587	ENSMUSG00000068587	84	0.3403499469161021	0.6960155285709326	2.5827146532542145e-06	8.844913196076077e-05
ENSMUSG00000035385	ENSMUSG00000035385	108	-0.0940070207230743	-0.203457227426302	3.944613987116874e-06	0.0001318015449299
ENSMUSG00000058927	ENSMUSG00000058927	223	0.2302146971225732	0.3190727037281361	3.954046347898199e-06	0.0001318015449299
