gene	rewiring_mean	rewiring_std	rank_std	high_rewiring	logFC	FDR	low_DE	q_BH	supported
ENSMUSG00000067377	0.4622697799132538	0.0540796866664273	35.556855879000324	True			True	8.118883612002174e-07	True
ENSMUSG00000001119	0.4412118234273052	0.0447398132063279	21.62059203629725	True			True	0.6499096185690072	False
ENSMUSG00000028715	0.4243662353110878	0.0434015045130883	30.7889590600267	True			True	0.955734487716618	False
ENSMUSG00000033327	0.4206873001274253	0.040489741251986	42.97208396156742	True			True	0.0809973111901089	True
ENSMUSG00000034159	0.4049745333796262	0.0177731406581475	24.48591431823611	True			True	0.02509952639581	True
ENSMUSG00002075453	0.4019749518393463	0.0256317692423195	28.057262874343248	True			True	1.2554117052938396e-05	True
ENSMUSG00000038738	0.4006599498055764	0.0329969420231884	69.20036127073327	True			True	0.0407390753874533	True
ENSMUSG00000064356	0.3999511049133684	0.0524412328148115	71.86487319963766	True			True	0.325848668487185	False
ENSMUSG00000070720	0.3997505326978421	0.0441625825558919	56.74680607752299	True			True	0.0048802186180714	True
ENSMUSG00000023247	0.3986661827102606	0.0527087942271643	63.12376731469693	True			True	0.9999999999999964	False
ENSMUSG00000044471	0.3964542449768992	0.0530725391996981	112.85672332652582	True			True	0.4524291809265072	False
ENSMUSG00000118734	0.3964444778374855	0.0464791053956441	75.8324468812658	True			True	0.9999999999999964	False
ENSMUSG00000024042	0.3923319136275274	0.0498031592242168	133.70340309805133	True			True	0.107061594223919	False
ENSMUSG00000059810	0.3915947226092856	0.0339132844300381	64.34290947726875	True			True	0.2902341289274177	False
ENSMUSG00000058258	0.3911091172056383	0.0317943375287108	55.5273806333416	True			True	0.0904995290636463	True
ENSMUSG00000090553	0.3893355418576673	0.0322595450968442	54.12060605721263	True			True	0.4699695607998629	False
ENSMUSG00000025981	0.3877669627726902	0.0301267395833014	67.22767287360168	True			True	0.3720279089285737	False
ENSMUSG00000037071	0.3863337345570764	0.0295884679542627	57.40592303935196	True			True	0.7599381219846706	False
ENSMUSG00000111605	0.3858025232858065	0.0371024785760491	95.71149356268556	True			True	0.98709298938039	False
ENSMUSG00000100153	0.3845654491140046	0.032550474770866	65.34898622013964	True			True	0.9999999999999964	False
ENSMUSG00000028763	0.3843357781129276	0.0501084800304899	206.89021243161795	True			True	0.9999999999999964	False
ENSMUSG00000001473	0.3837763986655745	0.0506123042464888	157.48574538668572	True			True	0.44960219748561	False
ENSMUSG00000017718	0.3835898353625052	0.0444404723648449	55.32639514734355	True			True	0.0770966799134354	True
ENSMUSG00000069662	0.3833653045984231	0.0365769238773913	85.96423674994155	True			True	0.0014715609917815	True
ENSMUSG00000030222	0.3832547791497593	0.038186396844708	69.86673027986926	True			True	0.0021978977713972	True
ENSMUSG00000077611	0.3825595345310275	0.0493057496426677	151.77776517000112	True			True	0.0036366500263097	True
ENSMUSG00000024677	0.3824776859134426	0.043895815049184	93.64406014264868	True			True	0.9999999999999964	False
ENSMUSG00000055653	0.3813014982980016	0.0418113558241823	104.61190180854184	True			True	0.0065761047754327	True
ENSMUSG00000066072	0.3808563711873017	0.0387753591829539	80.7341934994089	True			True	0.0002238373673178	True
ENSMUSG00000032997	0.3805070106411833	0.0342517692927329	87.69863168829944	True			True	0.9111190152247276	False
ENSMUSG00000044708	0.3800865448586015	0.0571701332328978	218.0587994097005	True			True	0.0003190205778107	True
ENSMUSG00000030795	0.3799913136096476	0.0376831253855804	93.43254251062636	True			True	0.5871210244958827	False
ENSMUSG00000001270	0.3792043440679918	0.0360768455243379	113.7297234675263	True			True	0.9999999999999964	False
ENSMUSG00000098318	0.3788891072587932	0.0425340769289547	68.01624805882781	True			True	0.9999999999999964	False
ENSMUSG00000028214	0.3775424222036928	0.0456525043746389	89.20762299265685	True			True	6.95478425009808e-06	True
ENSMUSG00000086924	0.3741546119011824	0.033836796711158	107.98036858614626	True			True	0.9999999999999964	False
ENSMUSG00000040093	0.3737378648141226	0.0250428832337435	68.44917822735346	True			True	0.9999999999999964	False
ENSMUSG00000060924	0.3735169565404019	0.0577098514166152	147.43408696770229	True			True	0.8966090181973075	False
ENSMUSG00000074183	0.3732844257071422	0.0423839828923627	101.84301645179212	True			True	0.9999999999999964	False
ENSMUSG00000018486	0.3729925387950158	0.0454670586524854	111.77137379490333	True			True	0.9999999999999964	False
ENSMUSG00000008348	0.3724442534697819	0.0484528621593723	163.53837470147488	True			True	0.35647151415246	False
ENSMUSG00000030218	0.372413094898956	0.0468146551759684	132.07285868035112	True			True	0.0055342822759832	True
ENSMUSG00000078597	0.3723595718836147	0.0383611867943871	107.00752310001384	True			True	5.415768705786501e-06	True
ENSMUSG00000045294	0.3720027265819356	0.0590392194470064	185.2652422879154	True			True	0.9999999999999964	False
ENSMUSG00000104339	0.3714935930204338	0.0498552875746967	169.60707532411493	True			True	0.9999999999999964	False
ENSMUSG00000059901	0.3712871869969079	0.0268151912441028	69.60603422117941	True			True	0.7611770356815393	False
ENSMUSG00000003380	0.3708380009329331	0.0340128008982271	71.65758857232079	True			True	0.6880787134727202	False
ENSMUSG00000102349	0.3685643280733708	0.0441959359031388	212.99157260323705	True			True	0.9999999999999964	False
