gene	rewiring_abs_obs	p_perm	q_BH
ENSMUSG00000098934	101.25774467457086	0.0004997501249375312	0.024497555143996628
ENSMUSG00000033569	108.41991455852985	0.0004997501249375312	0.024497555143996628
ENSMUSG00000109206	70.26021895557642	0.0004997501249375312	0.024497555143996628
ENSMUSG00000000682	61.49942848831415	0.0004997501249375312	0.024497555143996628
ENSMUSG00000042625	52.47372165322304	0.0004997501249375312	0.024497555143996628
ENSMUSG00000027676	98.57651621103287	0.0004997501249375312	0.024497555143996628
ENSMUSG00000068877	130.1391760725528	0.0004997501249375312	0.024497555143996628
ENSMUSG00000036814	111.58449011296034	0.0004997501249375312	0.024497555143996628
ENSMUSG00000001773	92.18312981724739	0.0004997501249375312	0.024497555143996628
ENSMUSG00000107722	115.59095251560211	0.0004997501249375312	0.024497555143996628
ENSMUSG00000020798	93.68349777162075	0.0004997501249375312	0.024497555143996628
ENSMUSG00000056313	47.60885310173035	0.0004997501249375312	0.024497555143996628
ENSMUSG00000039579	169.16934650950134	0.0004997501249375312	0.024497555143996628
ENSMUSG00000056328	160.30203388631344	0.0004997501249375312	0.024497555143996628
ENSMUSG00000037053	133.2411807924509	0.0004997501249375312	0.024497555143996628
ENSMUSG00000041734	60.86025786399841	0.0004997501249375312	0.024497555143996628
ENSMUSG00000092500	106.00890661031008	0.0004997501249375312	0.024497555143996628
ENSMUSG00000021750	49.08525888621807	0.0004997501249375312	0.024497555143996628
ENSMUSG00000022366	133.36732839420438	0.0004997501249375312	0.024497555143996628
ENSMUSG00000066026	76.34017463773489	0.0004997501249375312	0.024497555143996628
ENSMUSG00000028967	78.02428445219994	0.0004997501249375312	0.024497555143996628
ENSMUSG00000089960	120.12338380888104	0.0004997501249375312	0.024497555143996628
ENSMUSG00000100426	125.17619591206312	0.0004997501249375312	0.024497555143996628
ENSMUSG00000050315	76.24347075819969	0.0004997501249375312	0.024497555143996628
ENSMUSG00000005640	87.94561329111457	0.0004997501249375312	0.024497555143996628
ENSMUSG00000121069	55.97103673964739	0.0004997501249375312	0.024497555143996628
ENSMUSG00000047789	64.25871507823467	0.0004997501249375312	0.024497555143996628
ENSMUSG00000038843	52.18030722811818	0.0004997501249375312	0.024497555143996628
ENSMUSG00000002985	109.28013129532337	0.0004997501249375312	0.024497555143996628
ENSMUSG00000063730	118.76995103061199	0.0004997501249375312	0.024497555143996628
ENSMUSG00000023328	110.95547090470791	0.0004997501249375312	0.024497555143996628
ENSMUSG00000022146	68.40133231133223	0.0004997501249375312	0.024497555143996628
ENSMUSG00000086320	102.84016511589289	0.0004997501249375312	0.024497555143996628
ENSMUSG00000032946	56.838269237428904	0.0004997501249375312	0.024497555143996628
ENSMUSG00000039236	105.87265204265714	0.0004997501249375312	0.024497555143996628
ENSMUSG00000087141	218.0789859816432	0.0004997501249375312	0.024497555143996628
ENSMUSG00000031825	63.85367203131318	0.0004997501249375312	0.024497555143996628
ENSMUSG00000042961	61.925751730799675	0.0004997501249375312	0.024497555143996628
ENSMUSG00000028435	40.752037324011326	0.0004997501249375312	0.024497555143996628
ENSMUSG00000031958	90.22781491652131	0.0004997501249375312	0.024497555143996628
ENSMUSG00000021950	82.47388769686222	0.0004997501249375312	0.024497555143996628
ENSMUSG00000061742	86.78213559091091	0.0004997501249375312	0.024497555143996628
ENSMUSG00000000326	114.52486767992377	0.0004997501249375312	0.024497555143996628
ENSMUSG00000038224	183.1311200466007	0.0004997501249375312	0.024497555143996628
ENSMUSG00000026399	65.32514563202858	0.0004997501249375312	0.024497555143996628
ENSMUSG00000069917	63.26656897366047	0.0004997501249375312	0.024497555143996628
ENSMUSG00000027188	81.43678584694862	0.0004997501249375312	0.024497555143996628
ENSMUSG00000064225	66.47062008827925	0.0004997501249375312	0.024497555143996628
ENSMUSG00000028681	51.96709129400551	0.0004997501249375312	0.024497555143996628
ENSMUSG00000019278	60.71437621861696	0.0004997501249375312	0.024497555143996628
ENSMUSG00000020654	134.77599122654647	0.0004997501249375312	0.024497555143996628
ENSMUSG00000029830	59.842358719557524	0.004997501249375313	0.23272677386796797
ENSMUSG00000040111	110.13628567755222	0.005997001499250375	0.23272677386796797
ENSMUSG00000104235	72.80019590258598	0.0069965017491254375	0.23272677386796797
ENSMUSG00000064354	55.606241047382355	0.0069965017491254375	0.23272677386796797
